Date, Open, High, Low, Close, Volume
09/03/13, 90.96, 91.18, 90.31, 90.39, 9986805
08/30/13, 91.47, 91.59, 91.19, 91.35, 2486857
08/29/13, 90.91, 91.50, 90.82, 91.43, 4012860
08/28/13, 90.76, 91.09, 90.66, 91.06, 3860560
08/27/13, 91.05, 91.13, 90.71, 90.72, 3578431
08/26/13, 91.32, 91.39, 91.127, 91.31, 2365342
08/23/13, 90.8999, 91.36, 90.85, 91.30, 3370360
08/22/13, 90.57, 90.92, 90.49, 90.92, 4049886
08/21/13, 90.67, 90.78, 90.37, 90.43, 3098105
08/20/13, 90.30, 90.861, 90.28, 90.76, 4208223
08/19/13, 90.57, 90.63, 89.80, 89.93, 6536287
08/16/13, 90.97, 91.10, 90.42, 90.53, 6922409
08/15/13, 91.00, 91.09, 90.7499, 90.84, 6446131
08/14/13, 91.43, 91.49, 91.26, 91.31, 4605797
08/13/13, 91.48, 91.57, 91.30, 91.49, 2290460
08/12/13, 91.4401, 91.72, 91.42, 91.49, 3840820
08/09/13, 91.43, 91.675, 91.12, 91.57, 1765582
08/08/13, 91.42, 91.59, 91.375, 91.56, 2857120
08/07/13, 91.45, 91.54, 91.29, 91.36, 2253252
08/06/13, 91.93, 91.93, 91.36, 91.65, 3398838
08/05/13, 92.18, 92.18, 91.70, 91.74, 2231006
08/02/13, 91.96, 92.26, 91.81, 92.21, 4315849
08/01/13, 92.42, 92.59, 91.61, 91.65, 4616502
07/31/13, 92.49, 93.01, 92.28, 92.98, 4077922
07/30/13, 92.52, 92.87, 92.52, 92.71, 4239428
07/29/13, 92.60, 92.73, 92.42, 92.58, 3850082
07/26/13, 92.48, 92.78, 92.39, 92.78, 4213549
07/25/13, 92.51, 92.88, 92.44, 92.74, 5995437
07/24/13, 93.54, 93.64, 92.66, 92.95, 5249869
07/23/13, 93.89, 93.98, 93.67, 93.74, 2483679
07/22/13, 93.93, 94.01, 93.75, 93.97, 3888115
07/19/13, 93.95, 93.97, 93.77, 93.90, 2603055
07/18/13, 93.50, 94.00, 93.44, 93.96, 6824924
07/17/13, 93.03, 93.52, 93.00, 93.40, 8660486
07/16/13, 93.09, 93.09, 92.47, 92.72, 3292020
07/15/13, 92.67, 93.09, 92.56, 92.95, 6791562
07/12/13, 92.41, 92.67, 92.25, 92.56, 5788227
07/11/13, 92.18, 92.67, 92.00, 92.65, 5865389
07/10/13, 91.18, 91.54, 91.08, 91.50, 6529988
07/09/13, 91.10, 91.19, 90.87, 91.14, 6127670
07/08/13, 90.09, 91.09, 90.00, 91.09, 5638392
07/05/13, 90.39, 90.44, 89.63, 89.85, 3312593
07/03/13, 90.29, 90.86, 90.28, 90.82, 1679675
07/02/13, 90.79, 91.05, 90.35, 90.61, 3799741
07/01/13, 90.57, 90.99, 90.50, 90.89, 5213388
06/28/13, 91.30, 91.32, 90.47, 90.88, 6111933
06/27/13, 91.40, 91.94, 91.40, 91.50, 5578505
06/26/13, 90.70, 91.18, 90.57, 91.06, 5527103
06/25/13, 89.50, 90.31, 89.50, 90.31, 6233253
06/24/13, 89.45, 90.00, 88.27, 89.04, 12116022
06/21/13, 91.01, 91.105, 90.12, 90.15, 9245334
06/20/13, 91.09, 91.58, 90.28, 90.74, 11094987
06/19/13, 92.95, 93.27, 91.62, 91.64, 7971647
06/18/13, 92.76, 93.11, 92.76, 93.03, 3609663
06/17/13, 92.93, 93.45, 92.80, 92.80, 3830667
